Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	40	0.0185774570088297	PM
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	80	0.0128785082014652	PM
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	160	0.00724399320934321	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	0	0.00643903056209132	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	2.5	0	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	5	0.00563451499212199	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	10	0.0040245896976182	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	20	0.00885414204248829	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	40	0.00563429145348072	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	80	0.00731982371415929	PM
Enterococcus faecium	1	Erythromycin	1.65	Dicumarol	160	0.00563429145348072	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	0	0.0152911607568079	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	2.5	0.00965798699653368	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	5	0.0169006389740291	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	10	0.00965731638060977	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	20	0.00885324788792308	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	40	0.00241444086447309	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	80	0.0040245896976182	PM
Enterococcus faecium	1	Erythromycin	1.15	Dicumarol	160	0.0104640530487846	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	0	0.403214993175237	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	2.5	0.267997571029122	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	5	0.298579892542738	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	10	0.278460297134267	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	20	0.17785896701229	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	40	0.10059842411964	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	80	0.0370206814597832	PM
Enterococcus faecium	1	Erythromycin	0.65	Dicumarol	160	0.00402458969761817	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	0	0.966616732724137	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	2.5	0.956941651608545	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	5	0.9545251988963	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	10	0.93037922548108	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	20	0.871626117315984	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	40	0.722883456474608	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	80	0.478201114670335	PM
Enterococcus faecium	1	Erythromycin	0.15	Dicumarol	160	0.175855034664994	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	0	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	2.5	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	5	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	10	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	20	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	40	0.998046911335154	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	80	0.730081790473946	PM
Enterococcus faecium	1	Erythromycin	0	Dicumarol	160	0.329972318092356	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	0	0.0128940842916183	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	10	0.0186958208665258	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	20	0.0130511441622974	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	40	0.014505732923569	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	80	0.00402945729338152	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	160	0.00725320217528928	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	320	0.0217589350988583	PM
Enterococcus faecium	1	Erythromycin	3.15	Benzbromarone	640	0.0163711992441179	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	0	0.0161451654076696	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	10	0.00725297836628611	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	20	0.00402945729338152	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	40	0.00886462699823679	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	80	0.00161187244095388	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	160	0.016923765394003	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	320	0.0373927704759948	PM
Enterococcus faecium	1	Erythromycin	2.65	Benzbromarone	640	0.0129608248255341	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	0	0.0204637717278972	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	10	0.0128943081006215	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	20	0.0129161323261357	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	40	0.014505732923569	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	80	0.0112822118506644	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	160	0.00725297836628611	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	320	0.010530951380061	PM
Enterococcus faecium	1	Erythromycin	2.15	Benzbromarone	640	0.0149963903729255	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	0	0.0112822118506644	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	10	0.00564110592533223	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	20	0	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	40	0.00886462699823679	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	80	0.0205355744357144	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	160	0.00725297836628611	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	320	0.0291625307598066	PM
Enterococcus faecium	1	Erythromycin	1.65	Benzbromarone	640	0.00725320217528928	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	0	0.00900284108621404	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	10	0.00402945729338152	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	20	0.00894145009939206	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	40	0.00886462699823679	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	80	0.0185668841708946	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	160	0.00725297836628611	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	320	0.0145059567325722	PM
Enterococcus faecium	1	Erythromycin	1.15	Benzbromarone	640	0.00891096076059508	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	0	0.309416618333246	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	10	0.0508491440849669	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	20	0.00402878586637189	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	40	0.00241758485242764	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	80	0.0072656046730786	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	160	0.0201815128075124	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	320	0.00725320217528928	PM
Enterococcus faecium	1	Erythromycin	0.65	Benzbromarone	640	0.040785165309933	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	0	0.982484744159443	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	10	0.707271784694251	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	20	0.398863676929017	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	40	0.0991109075443885	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	80	0.00332086740864669	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	160	0.0120885956891477	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	320	0.0145059567325722	PM
Enterococcus faecium	1	Erythromycin	0.15	Benzbromarone	640	0.016314609808379	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	0	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	10	0.970346710063525	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	20	0.638186672599096	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	40	0.216757005305728	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	80	0.0212052775741192	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	160	0.00483494589585206	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	320	0.00888000911799466	PM
Enterococcus faecium	1	Erythromycin	0	Benzbromarone	640	0.0183288444428359	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	0	0.0110769006300277	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	10	0.0110769006300277	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	20	0.0198806025920306	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	40	0.0198806025920306	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	80	0.0199513520674471	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	160	0.0126592208330991	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	320	0.0120139200200809	PM
Enterococcus faecium	1	Erythromycin	3.15	Tolfenamic Acid	640	0.0336351058359395	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	0	0.0324396516566352	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	10	0.00553845031501384	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	20	0.0094943606907803	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	40	0.00395591037576649	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	80	0.0126592208330991	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	160	0.00712077051808522	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	320	0.00395613011194243	PM
Enterococcus faecium	1	Erythromycin	2.65	Tolfenamic Acid	640	0.0237367806716546	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	0	0.0186201936547332	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	10	0.00553845031501384	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	20	0.0110769006300277	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	40	0.00712099025426119	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	80	0.00870331045733257	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	160	0.0158243007115938	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	320	0.0110769006300276	PM
Enterococcus faecium	1	Erythromycin	2.15	Tolfenamic Acid	640	0.0258127979258823	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	0	0.00237359017269508	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	10	0.0158245204477697	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	20	0.016191521620508	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	40	0.0181976711481129	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	80	0.0110769006300277	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	160	0.00712077051808522	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	320	0.00474674087303816	PM
Enterococcus faecium	1	Erythromycin	1.65	Tolfenamic Acid	640	0.0267766591851346	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	0	0.0134489526494909	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	10	0.0047465211368622	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	20	0.00474696060921419	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	40	0.00237359017269508	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	80	0.00877851512111269	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	160	0.0127235503230659	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	320	0.00553845031501384	PM
Enterococcus faecium	1	Erythromycin	1.15	Tolfenamic Acid	640	0.036198801893193	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	0	0.234957960074814	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	10	0.184326570146818	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	20	0.10521539418912	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	40	0.0578371026451683	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	80	0.015821663877482	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	160	0.0253186614023741	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	320	0.00395613011194243	PM
Enterococcus faecium	1	Erythromycin	0.65	Tolfenamic Acid	640	0.0271826020493295	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	0	0.995252380182258	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	10	0.91607267225949	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	20	0.837020140138943	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	40	0.814727539362335	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	80	0.592553097049557	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	160	0.33875763257418	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	320	0.0482573602829496	PM
Enterococcus faecium	1	Erythromycin	0.15	Tolfenamic Acid	640	0.123535081387457	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	0	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	10	1.1	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	20	1.06804086741295	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	40	1.00949458042696	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	80	0.914554709034145	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	160	0.567237951425999	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	320	0.154267979692861	PM
Enterococcus faecium	1	Erythromycin	0	Tolfenamic Acid	640	0.250066867685301	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	0	0.0111931534733631	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	2.5	0.00340644736400115	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	5	0.00437998839239545	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	10	0.0121668296782401	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	20	0.00778670610936199	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	40	0.00778670610936199	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	80	0.0107069236650968	PM
Enterococcus faecalis	1	Erythromycin	3.15	Dicumarol	160	0.00875997678479089	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	0	0.00881286413930365	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	2.5	0.00437998839239545	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	5	0.00876011196127358	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	10	0.00778670610936199	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	20	0.00876011196127358	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	40	0.00875997678479089	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	80	0.0107069236650968	PM
Enterococcus faecalis	1	Erythromycin	2.65	Dicumarol	160	0.00875997678479089	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	0	0.00340644736400115	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	2.5	0.00340644736400115	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	5	0.0124685815519523	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	10	0.00437998839239545	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	20	0.00876011196127358	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	40	0.00881286413930365	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	80	0.0141136413820633	PM
Enterococcus faecalis	1	Erythromycin	2.15	Dicumarol	160	0.00778670610936199	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	0	0.0153179062785621	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	2.5	0.0184960629511473	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	5	0.0137110454331966	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	10	0.0170358865850386	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	20	0.00800509061245414	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	40	0.0142420661117553	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	80	0.00437998839239544	PM
Enterococcus faecalis	1	Erythromycin	1.65	Dicumarol	160	0.00632680009621864	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	0	0.0991461487537522	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	2.5	0.117791164905644	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	5	0.134827051490682	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	10	0.0866453542591676	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	20	0.071063763895889	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	40	0.0225252694984522	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	80	0.00632652974325324	PM
Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	160	0.0186052829418288	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	0	0.403984635025438	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	2.5	0.404481019295564	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	5	0.406467149142798	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	10	0.341204907744416	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	20	0.25310431102811	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	40	0.169428686603324	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	80	0.0535417826790668	PM
Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	160	0.00437971803943005	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	0	0.869662446855692	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	2.5	0.838646929368193	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	5	0.810438997209693	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	10	0.755989194945458	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	20	0.691270344237559	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	40	0.592093880596226	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	80	0.410527001692303	PM
Enterococcus faecalis	1	Erythromycin	0.15	Dicumarol	160	0.15764291482424	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	0	1.04543326720705	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	2.5	1.01678925709236	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	5	0.971523654566502	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	10	0.941643871465129	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	20	0.89541164303483	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	40	0.859137463311072	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	80	0.726941752335303	PM
Enterococcus faecalis	1	Erythromycin	0	Dicumarol	160	0.414701713152395	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	0	0.0142856458345453	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	10	0.0135024715152419	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	20	0.00530460456794176	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	40	0.00337558439352763	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	80	0.00868018896146939	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	160	0.0237626120969897	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	320	0.0130204173833355	PM
Enterococcus faecalis	1	Erythromycin	3.15	Benzbromarone	640	0.0371853156150634	PM
Enterococcus faecalis	1	Erythromycin	2.65	Benzbromarone	0	0.0207362301987292	PM
Enterococcus faecalis	1	Erythromycin	2.65	Benzbromarone	10	0.011573853164222	PM
Enterococcus faecalis	1	Erythromycin	2.65	Benzbromarone	20	0.00771581281539372	PM
Enterococcus faecalis	1	Erythromycin	2.65	Benzbromarone	40	0.00964483298980785	PM
Enterococcus faecalis	1	Erythromycin	2.65	Benzbromarone	80	0.0106093430770149	PM
Enterococcus faecalis	1	Erythromycin	2.65	Benzbromarone	160	0.015431491689656	PM
Enterococcus faecalis	1	Erythromycin	2.65	Benzbromarone	320	0.00530460456794176	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	0	0.00337558439352763	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	10	0.00868032290260078	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	20	0.00578665869984819	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	40	0.00964483298980784	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	80	0.0120559072961284	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	160	0.0130204173833355	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	320	0.0183251558924086	PM
Enterococcus faecalis	1	Erythromycin	2.15	Benzbromarone	640	0.0120127750362035	PM
Enterococcus faecalis	1	Erythromycin	1.65	Benzbromarone	0	0.00868112654938917	PM
Enterococcus faecalis	1	Erythromycin	1.65	Benzbromarone	10	0.015431491689656	PM
Enterococcus faecalis	1	Erythromycin	1.65	Benzbromarone	20	0.00434009448073469	PM
Enterococcus faecalis	1	Erythromycin	1.65	Benzbromarone	40	0.0130204173833355	PM
Enterococcus faecalis	1	Erythromycin	1.65	Benzbromarone	80	0.0130204173833355	PM
Enterococcus faecalis	1	Erythromycin	1.65	Benzbromarone	160	0.0173606458052016	PM
Enterococcus faecalis	1	Erythromycin	1.65	Benzbromarone	320	0.0077590141131792904	PM
Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	0	0.114301879066829	PM
Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	10	0.0121614467062008	PM
Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	20	0.00771581281539371	PM
Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	40	0.00771567887426232	PM
Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	80	0.0106093430770149	PM
Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	160	0.0139849274705425	PM
Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	320	0.00530460456794176	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	0	0.361474206604751	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	10	0.0646265959002093	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	20	0.00337558439352763	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	40	0.0106093430770149	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	80	0.0110913972089213	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	160	0.0120559072961284	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	320	0.00964483298980785	PM
Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	640	0.019903649754089	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	0	0.871086349045438	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	10	0.674464591230862	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	20	0.188006060806053	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	40	0.0077166164621821	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	80	0.0130204173833355	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	160	0.0384166161230656	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	320	0.0139849274705425	PM
Enterococcus faecalis	1	Erythromycin	0.15	Benzbromarone	640	0.0213435613306254	PM
