DrugX	DrugXConc	ABX	ABXConc	Strain	Replicate	normAUC	Exp	Strain_name
Benzbromarone	20	Erythromycin	0.65	NT5003	1	0.07225265523543366	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0.65	NT5003	1	0.0037554967410355646	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0.65	NT5003	1	0.004970343256900754	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0.65	NT5003	1	0.00906976276759033	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0.65	NT5003	1	0.0060188665972919445	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0.65	NT5003	1	0.009278425342371553	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0.15	NT5003	1	0.4041367683803024	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0.15	NT5003	1	0.834626102896379	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0.15	NT5003	1	0.8449648443935031	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0.15	NT5003	1	0.07566112834406023	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0.15	NT5003	1	0.0028673972031829234	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0.15	NT5003	1	0.007637508701879736	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0.15	NT5003	1	0.00959510918609115	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0.15	NT5003	1	0.010571066818994739	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0	NT5003	1	1.1	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0	NT5003	1	0.9918021772248543	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0	NT5003	1	0.9852676369190557	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0	NT5003	1	0.3971517055245939	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0	NT5003	1	0.00932221550684021	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0	NT5003	1	0.007245408094724167	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0	NT5003	1	0.003970277296495678	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0	NT5003	1	0.007290264448943345	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	3.15	NT5003	2	0.006476857385913805	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	3.15	NT5003	2	0.005512635531330456	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	3.15	NT5003	2	0.0025127164167763863	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	3.15	NT5003	2	0.0016845600613501317	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	3.15	NT5003	2	0.0042655923168210125	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	3.15	NT5003	2	0.007922959294993806	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	3.15	NT5003	2	0.002935361040579071	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	3.15	NT5003	2	0.006852056444558517	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	2.65	NT5003	2	0.018282000766975875	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	2.65	NT5003	2	0.005360467247226718	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	2.65	NT5003	2	0.004355265859263839	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	2.65	NT5003	2	0.0032526321341908183	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	2.65	NT5003	2	0.008590227902242389	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	2.65	NT5003	2	0.007381035257444226	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	2.65	NT5003	2	0.007235661693101833	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	2.65	NT5003	2	0.0037794945260639277	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	2.15	NT5003	2	0.004794545981244546	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	2.15	NT5003	2	0.009813617607027961	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	2.15	NT5003	2	0.008769825288904926	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	2.15	NT5003	2	0.0022516704528736486	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	2.15	NT5003	2	0.006329470543580902	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	2.15	NT5003	2	0.008233538352593989	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	2.15	NT5003	2	0.003331196308195703	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	2.15	NT5003	2	0.008554968851380204	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	1.65	NT5003	2	0.004794756890724959	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	1.65	NT5003	2	0.004188015226526234	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	1.65	NT5003	2	0.0065424653252079594	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	1.65	NT5003	2	0.003340765853705405	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	1.65	NT5003	2	0.007589452353738464	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	1.65	NT5003	2	0.005210101626647092	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	1.65	NT5003	2	0.007005571813864112	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	1.65	NT5003	2	0.0048509818010408585	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	1.15	NT5003	2	0.008013472223361837	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	1.15	NT5003	2	0.004367814986985612	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	1.15	NT5003	2	0.008063353282523075	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	1.15	NT5003	2	0.003779425616318616	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	1.15	NT5003	2	0.00410923992675564	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	1.15	NT5003	2	0.010978073065173708	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	1.15	NT5003	2	0.005261607872965146	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	1.15	NT5003	2	0.004115457331484394	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0.65	NT5003	2	0.005989354942738654	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0.65	NT5003	2	0.13432295453921833	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0.65	NT5003	2	0.15651759331446452	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0.65	NT5003	2	0.006719573164115994	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0.65	NT5003	2	0.002759879779586125	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0.65	NT5003	2	0.0056792062977404556	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0.65	NT5003	2	0.00925742789922088	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0.65	NT5003	2	0.007391242283170194	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0.15	NT5003	2	0.548780169887094	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0.15	NT5003	2	0.8581015541708747	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0.15	NT5003	2	0.8033002621642986	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0.15	NT5003	2	0.2735918155938545	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0.15	NT5003	2	0.004612821222116832	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0.15	NT5003	2	0.007651479176430124	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0.15	NT5003	2	0.008673593408063502	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0.15	NT5003	2	0.00362168001989959	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0	NT5003	2	1.1	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0	NT5003	2	0.9977802388184686	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0	NT5003	2	0.8434592035199443	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0	NT5003	2	0.48762594772425893	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0	NT5003	2	0.028730933813888384	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0	NT5003	2	0.005679230013388399	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0	NT5003	2	0.007182565678030562	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0	NT5003	2	0.006081827284454438	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	3.15	NT5003	3	0.014641811503295002	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	3.15	NT5003	3	0.010149966362434086	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	3.15	NT5003	3	0.005310644415256054	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	3.15	NT5003	3	0.0032412307581731704	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	3.15	NT5003	3	0.010546281586484081	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	3.15	NT5003	3	0.013973687668131344	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	3.15	NT5003	3	0.0031333094348102806	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	3.15	NT5003	3	0.007098925595343357	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	2.65	NT5003	3	0.00813756244266752	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	2.65	NT5003	3	0.01040583195080528	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	2.65	NT5003	3	0.004796585508888033	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	2.65	NT5003	3	0.002814581287763939	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	2.65	NT5003	3	0.004684244030699761	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	2.65	NT5003	3	0.012008434464691803	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	2.65	NT5003	3	0.005657903525496451	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	2.65	NT5003	3	0.0075157147175805555	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	2.15	NT5003	3	0.006633244939446422	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	2.15	NT5003	3	0.006356547331923237	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	2.15	NT5003	3	0.005791607063362313	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	2.15	NT5003	3	0.0041850171686788	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	2.15	NT5003	3	0.004173068151362372	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	2.15	NT5003	3	0.016120086654746704	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	2.15	NT5003	3	0.004149419420875286	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	2.15	NT5003	3	0.008079306052591733	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	1.65	NT5003	3	0.009178345221295828	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	1.65	NT5003	3	0.008468048239389698	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	1.65	NT5003	3	0.0047900391938257725	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	1.65	NT5003	3	0.002217480350393044	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	1.65	NT5003	3	0.004422393446249056	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	1.65	NT5003	3	0.012632513974674242	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	1.65	NT5003	3	0.006934453306569193	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	1.65	NT5003	3	0.0069834580852085265	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	1.15	NT5003	3	0.010909643337306785	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	1.15	NT5003	3	0.008737043469430739	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	1.15	NT5003	3	0.00684228533471366	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	1.15	NT5003	3	0.0029244303129828415	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	1.15	NT5003	3	0.008443578233905373	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	1.15	NT5003	3	0.006859548291173834	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	1.15	NT5003	3	0.004833816125908654	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	1.15	NT5003	3	0.006963866658552749	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0.65	NT5003	3	0.01719287949335045	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0.65	NT5003	3	0.20847476209930496	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0.65	NT5003	3	0.0699699106901999	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0.65	NT5003	3	0.0047898968862737515	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0.65	NT5003	3	0.011258046012917553	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0.65	NT5003	3	0.010431362696349165	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0.65	NT5003	3	0.004789326535816573	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0.65	NT5003	3	0.0030701636926402467	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0.15	NT5003	3	0.5409235564366384	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0.15	NT5003	3	0.9107396464293123	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0.15	NT5003	3	0.6517682004643334	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0.15	NT5003	3	0.29570455005975066	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0.15	NT5003	3	0.0024629595301484887	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0.15	NT5003	3	0.005758576178007645	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0.15	NT5003	3	0.004762381486514412	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0.15	NT5003	3	0.004202626715200154	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0	NT5003	3	1.1	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0	NT5003	3	1.0290188210396662	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	0	NT5003	3	0.7440649510933078	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	0	NT5003	3	0.42093422293348765	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	0	NT5003	3	0.02536822157320812	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	0	NT5003	3	0.00712362783090074	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	0	NT5003	3	0.00462497867964334	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	0	NT5003	3	0.006131792007114734	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	3.15	NT5019	1	0.01787586270081814	LM20-10	P. copri
Benzbromarone	10	Erythromycin	3.15	NT5019	1	0.014837020457889247	LM20-10	P. copri
Benzbromarone	20	Erythromycin	3.15	NT5019	1	0.020351902070285668	LM20-10	P. copri
Benzbromarone	40	Erythromycin	3.15	NT5019	1	0.01286742422580775	LM20-10	P. copri
Benzbromarone	80	Erythromycin	3.15	NT5019	1	0.020283483236087578	LM20-10	P. copri
Benzbromarone	160	Erythromycin	3.15	NT5019	1	0.014623259950965748	LM20-10	P. copri
Benzbromarone	320	Erythromycin	3.15	NT5019	1	0.009633157713597535	LM20-10	P. copri
Benzbromarone	640	Erythromycin	3.15	NT5019	1	0.006433597479044259	LM20-10	P. copri
Benzbromarone	0	Erythromycin	2.65	NT5019	1	0.020448637331137037	LM20-10	P. copri
Benzbromarone	10	Erythromycin	2.65	NT5019	1	0.026347463642818564	LM20-10	P. copri
Benzbromarone	20	Erythromycin	2.65	NT5019	1	0.018812590711170526	LM20-10	P. copri
Benzbromarone	40	Erythromycin	2.65	NT5019	1	0.022415144235521836	LM20-10	P. copri
Benzbromarone	80	Erythromycin	2.65	NT5019	1	0.017272704471304086	LM20-10	P. copri
Benzbromarone	160	Erythromycin	2.65	NT5019	1	0.011122964165547752	LM20-10	P. copri
Benzbromarone	320	Erythromycin	2.65	NT5019	1	0.009557536763336216	LM20-10	P. copri
Benzbromarone	640	Erythromycin	2.65	NT5019	1	0.00457995046028032	LM20-10	P. copri
Benzbromarone	0	Erythromycin	2.15	NT5019	1	0.02400795643501585	LM20-10	P. copri
Benzbromarone	10	Erythromycin	2.15	NT5019	1	0.027488493468938436	LM20-10	P. copri
Benzbromarone	20	Erythromycin	2.15	NT5019	1	0.01969529648295514	LM20-10	P. copri
Benzbromarone	40	Erythromycin	2.15	NT5019	1	0.01982900464649516	LM20-10	P. copri
Benzbromarone	80	Erythromycin	2.15	NT5019	1	0.019563765527842742	LM20-10	P. copri
Benzbromarone	160	Erythromycin	2.15	NT5019	1	0.021329814361499954	LM20-10	P. copri
Benzbromarone	320	Erythromycin	2.15	NT5019	1	0.01488648965571418	LM20-10	P. copri
Benzbromarone	640	Erythromycin	2.15	NT5019	1	0.01204942418742933	LM20-10	P. copri
Benzbromarone	0	Erythromycin	1.65	NT5019	1	0.01791776886933302	LM20-10	P. copri
Benzbromarone	10	Erythromycin	1.65	NT5019	1	0.008174370897942684	LM20-10	P. copri
Benzbromarone	20	Erythromycin	1.65	NT5019	1	0.009530998683529674	LM20-10	P. copri
Benzbromarone	40	Erythromycin	1.65	NT5019	1	0.06814552878968529	LM20-10	P. copri
Benzbromarone	80	Erythromycin	1.65	NT5019	1	0.015756033142242352	LM20-10	P. copri
Benzbromarone	160	Erythromycin	1.65	NT5019	1	0.009405879001413103	LM20-10	P. copri
Benzbromarone	320	Erythromycin	1.65	NT5019	1	0.00901395285728737	LM20-10	P. copri
Benzbromarone	640	Erythromycin	1.65	NT5019	1	0.012494281614176834	LM20-10	P. copri
Benzbromarone	0	Erythromycin	1.15	NT5019	1	0.024581374947166175	LM20-10	P. copri
Benzbromarone	10	Erythromycin	1.15	NT5019	1	0.3231977111964275	LM20-10	P. copri
Benzbromarone	20	Erythromycin	1.15	NT5019	1	0.28482266866788414	LM20-10	P. copri
Benzbromarone	40	Erythromycin	1.15	NT5019	1	0.2710424134103905	LM20-10	P. copri
Benzbromarone	80	Erythromycin	1.15	NT5019	1	0.01445749921694994	LM20-10	P. copri
Benzbromarone	160	Erythromycin	1.15	NT5019	1	0.017113649534168798	LM20-10	P. copri
Benzbromarone	320	Erythromycin	1.15	NT5019	1	0.007904243309362008	LM20-10	P. copri
Benzbromarone	640	Erythromycin	1.15	NT5019	1	0.05212858514534452	LM20-10	P. copri
Benzbromarone	0	Erythromycin	0.65	NT5019	1	0.5692317386312548	LM20-10	P. copri
Benzbromarone	10	Erythromycin	0.65	NT5019	1	0.6608987378616353	LM20-10	P. copri
Benzbromarone	20	Erythromycin	0.65	NT5019	1	0.3936119552411261	LM20-10	P. copri
Benzbromarone	40	Erythromycin	0.65	NT5019	1	0.3420369304223122	LM20-10	P. copri
Benzbromarone	80	Erythromycin	0.65	NT5019	1	0.05637349541384952	LM20-10	P. copri
Benzbromarone	160	Erythromycin	0.65	NT5019	1	0.017331286258571603	LM20-10	P. copri
Benzbromarone	320	Erythromycin	0.65	NT5019	1	0.011816696856051412	LM20-10	P. copri
Benzbromarone	640	Erythromycin	0.65	NT5019	1	0.00422261575714861	LM20-10	P. copri
Benzbromarone	0	Erythromycin	0.15	NT5019	1	1.1	LM20-10	P. copri
Benzbromarone	10	Erythromycin	0.15	NT5019	1	0.8869290335588292	LM20-10	P. copri
Benzbromarone	20	Erythromycin	0.15	NT5019	1	0.39640374049825056	LM20-10	P. copri
Benzbromarone	40	Erythromycin	0.15	NT5019	1	0.3276146678022028	LM20-10	P. copri
Benzbromarone	80	Erythromycin	0.15	NT5019	1	0.07732857445452011	LM20-10	P. copri
Benzbromarone	160	Erythromycin	0.15	NT5019	1	0.012231174776886221	LM20-10	P. copri
Benzbromarone	320	Erythromycin	0.15	NT5019	1	0.0052424883689071	LM20-10	P. copri
Benzbromarone	640	Erythromycin	0.15	NT5019	1	0.014962350197526337	LM20-10	P. copri
Benzbromarone	0	Erythromycin	0	NT5019	1	1.1	LM20-10	P. copri
Benzbromarone	10	Erythromycin	0	NT5019	1	0.7758133177928762	LM20-10	P. copri
Benzbromarone	20	Erythromycin	0	NT5019	1	0.34111587360183393	LM20-10	P. copri
Benzbromarone	40	Erythromycin	0	NT5019	1	0.2973735629536912	LM20-10	P. copri
Benzbromarone	80	Erythromycin	0	NT5019	1	0.07892811322792463	LM20-10	P. copri
Benzbromarone	160	Erythromycin	0	NT5019	1	0.011908058841092934	LM20-10	P. copri
Benzbromarone	320	Erythromycin	0	NT5019	1	0.009369677134414845	LM20-10	P. copri
Benzbromarone	640	Erythromycin	0	NT5019	1	0.005683562682418696	LM20-10	P. copri
Benzbromarone	0	Erythromycin	3.15	NT5019	2	0.022794175523826454	LM20-10	P. copri
Benzbromarone	10	Erythromycin	3.15	NT5019	2	0.018554770519026	LM20-10	P. copri
Benzbromarone	20	Erythromycin	3.15	NT5019	2	0.024331341906931165	LM20-10	P. copri
Benzbromarone	40	Erythromycin	3.15	NT5019	2	0.022619010283361298	LM20-10	P. copri
Benzbromarone	80	Erythromycin	3.15	NT5019	2	0.01762061493262786	LM20-10	P. copri
Benzbromarone	160	Erythromycin	3.15	NT5019	2	0.011649551993620316	LM20-10	P. copri
Benzbromarone	320	Erythromycin	3.15	NT5019	2	0.018554041811755222	LM20-10	P. copri
Benzbromarone	640	Erythromycin	3.15	NT5019	2	0.005304099743908447	LM20-10	P. copri
Benzbromarone	0	Erythromycin	2.65	NT5019	2	0.016657431672044455	LM20-10	P. copri
Benzbromarone	10	Erythromycin	2.65	NT5019	2	0.019780508716038137	LM20-10	P. copri
Benzbromarone	20	Erythromycin	2.65	NT5019	2	0.0244651479495891	LM20-10	P. copri
Benzbromarone	40	Erythromycin	2.65	NT5019	2	0.024506649322182446	LM20-10	P. copri
Benzbromarone	80	Erythromycin	2.65	NT5019	2	0.018143906058709743	LM20-10	P. copri
Benzbromarone	160	Erythromycin	2.65	NT5019	2	0.014257823475685077	LM20-10	P. copri
Benzbromarone	320	Erythromycin	2.65	NT5019	2	0.010780014358653564	LM20-10	P. copri
Benzbromarone	640	Erythromycin	2.65	NT5019	2	0.004900960152535863	LM20-10	P. copri
Benzbromarone	0	Erythromycin	2.15	NT5019	2	0.025031643395846775	LM20-10	P. copri
Benzbromarone	10	Erythromycin	2.15	NT5019	2	0.02213068606187384	LM20-10	P. copri
Benzbromarone	20	Erythromycin	2.15	NT5019	2	0.021639981254305836	LM20-10	P. copri
