Drug	ABX	Strain	Replicate	normAUC	Exp
Camylofine chlorhydrate	Doxycycline	NT5002	R2	0.11658226917245781	LM18-22
Papaverine hydrochloride	Doxycycline	NT5002	R2	0.12254765587500362	LM18-22
Yohimbine hydrochloride	Doxycycline	NT5002	R2	0.11413777166109981	LM18-22
Trimeprazine tartrate	Erythromycin	NT5001	R1	0.032433116622271274	LM18-12
Voriconazole	Doxycycline	NT5002	R2	0.1117516869310875	LM18-22
Cilostazol	Doxycycline	NT5002	R2	0.12593454685696995	LM18-22
Galanthamine hydrobromide	Doxycycline	NT5002	R2	0.08243188592081063	LM18-22
Azelastine HCl	Doxycycline	NT5002	R2	0.11147562230359423	LM18-22
Etretinate	Doxycycline	NT5002	R2	0.12454089328512129	LM18-22
Candesartan	Doxycycline	NT5002	R2	0.11413763851012575	LM18-22
Triclosan	Doxycycline	NT5002	R2	0.2819264550490133	LM18-22
Emedastine	Doxycycline	NT5002	R2	0.10546222982015042	LM18-22
Etofenamate	Doxycycline	NT5002	R2	0.1495434254536356	LM18-22
Nafcillin sodium salt monohydrate	Erythromycin	NT5001	R1	0.03844036040505264	LM18-12
Zaleplon	Doxycycline	NT5002	R2	0.10415981101275446	LM18-22
Diclofenac sodium	Doxycycline	NT5002	R2	0.1454467233892488	LM18-22
Exemestane	Doxycycline	NT5002	R2	0.11053582580086065	LM18-22
Temozolomide	Doxycycline	NT5002	R2	0.10624011394599274	LM18-22
Xylazine	Doxycycline	NT5002	R2	0.07228057306791359	LM18-22
Celiprolol HCl	Doxycycline	NT5002	R2	0.11702125544146891	LM18-22
Zopiclone	Doxycycline	NT5002	R2	0.10452008260092277	LM18-22
Enoxacin	Doxycycline	NT5002	R2	0.09220683699411894	LM18-22
Fluocinolone acetonide	Doxycycline	NT5002	R2	0.1408392552681852	LM18-22
Procyclidine hydrochloride	Erythromycin	NT5001	R1	0.040325560315844444	LM18-12
Tranilast	Doxycycline	NT5002	R2	0.13704222586461481	LM18-22
Tizanidine HCl	Doxycycline	NT5002	R2	0.11890124506943994	LM18-22
Zafirlukast	Doxycycline	NT5002	R2	0.09586482864268576	LM18-22
Butenafine Hydrochloride	Doxycycline	NT5002	R2	0.09568479344248583	LM18-22
Carbadox	Doxycycline	NT5002	R2	0.007613858796397146	LM18-22
Eburnamonine (-)	Doxycycline	NT5002	R2	0.10679904597543198	LM18-22
Oxibendazol	Doxycycline	NT5002	R2	0.07447988771329912	LM18-22
Ipsapirone	Doxycycline	NT5002	R2	0.11434008655696075	LM18-22
Hydroxychloroquine sulfate	Doxycycline	NT5002	R2	0.11401340905516522	LM18-22
Amiprilose hydrochloride	Erythromycin	NT5001	R1	0.03329145023595355	LM18-12
Sparfloxacin	Doxycycline	NT5002	R2	0.014098501864011568	LM18-22
Losartan	Doxycycline	NT5002	R2	0.19740162376927525	LM18-22
Loracarbef	Doxycycline	NT5002	R2	0.11467766170247272	LM18-22
Fenipentol	Doxycycline	NT5002	R2	0.1190891717706878	LM18-22
Diosmin	Doxycycline	NT5002	R2	0.09602260654124838	LM18-22
Carbidopa	Doxycycline	NT5002	R2	0.11438942370012765	LM18-22
(-)-Emtricitabine	Doxycycline	NT5002	R2	0.10242995604240562	LM18-22
Quipazine dimaleate salt	Doxycycline	NT5002	R2	0.0965562225491421	LM18-22
Acipimox	Doxycycline	NT5002	R2	0.09117305200532126	LM18-22
Diflorasone Diacetate	Doxycycline	NT5002	R2	0.09614736671755875	LM18-22
Acamprosate calcium	Doxycycline	NT5002	R2	0.10273408355751576	LM18-22
Benztropine mesylate	Doxycycline	NT5002	R2	0.06739252701261508	LM18-22
Racepinephrine HCl	Doxycycline	NT5002	R2	0.16806573017489174	LM18-22
Mizolastine	Doxycycline	NT5002	R2	0.10750769717858777	LM18-22
Amisulpride	Doxycycline	NT5002	R2	0.10270644206205874	LM18-22
Pyridoxine hydrochloride	Doxycycline	NT5002	R2	0.1110407979101121	LM18-22
Mercaptopurine	Doxycycline	NT5002	R2	0.10087676439821949	LM18-22
Cytarabine	Doxycycline	NT5002	R2	0.10500795815751639	LM18-22
(-) -Levobunolol hydrochloride	Erythromycin	NT5001	R1	0.033291402364834216	LM18-12
Folic acid	Doxycycline	NT5002	R2	0.1144834409704923	LM18-22
Benazepril HCl	Doxycycline	NT5002	R2	0.05507970643675937	LM18-22
Aniracetam	Doxycycline	NT5002	R2	0.09614723290643408	LM18-22
Dimethisoquin hydrochloride	Doxycycline	NT5002	R2	0.06277832869662087	LM18-22
Montelukast	Doxycycline	NT5002	R2	0.051789387468087526	LM18-22
Pravastatin	Doxycycline	NT5002	R2	0.38438969339585666	LM18-22
Alendronate sodium	Doxycycline	NT5002	R2	0.06604378253484872	LM18-22
Dipivefrin hydrochloride	Doxycycline	NT5002	R2	0.06408693268194962	LM18-22
Thiorphan	Doxycycline	NT5002	R2	0.07267660322257899	LM18-22
Tomoxetine hydrochloride	Doxycycline	NT5002	R2	0.08001848816377803	LM18-22
Iodixanol	Erythromycin	NT5001	R1	0.043753605932591026	LM18-12
Aceclidine Hydrochloride	Doxycycline	NT5002	R2	0.0847264249121231	LM18-22
Levetiracetam	Doxycycline	NT5002	R2	0.08125366931625386	LM18-22
Dexfenfluramine hydrochloride	Doxycycline	NT5002	R2	0.05620107794422975	LM18-22
Etoricoxib	Doxycycline	NT5002	R2	0.06180770149057143	LM18-22
Sertindole	Doxycycline	NT5002	R2	0.023157947579427105	LM18-22
Rosiglitazone Hydrochloride	Doxycycline	NT5002	R2	0.023598057357330685	LM18-22
Valproic acid	Doxycycline	NT5002	R2	0.12848759324454861	LM18-22
Sulmazole	Doxycycline	NT5002	R2	0.11460682464882607	LM18-22
Gefitinib	Doxycycline	NT5002	R2	0.11316658193530153	LM18-22
Clinafloxacin	Erythromycin	NT5001	R1	0.01096765306314508	LM18-12
Flunisolide	Doxycycline	NT5002	R2	0.10257247812105158	LM18-22
N-Acetyl-DL-homocysteine Thiolactone	Doxycycline	NT5002	R2	0.10151145296137642	LM18-22
Flurandrenolide	Doxycycline	NT5002	R2	0.5977350217409652	LM18-22
Rebamipide	Doxycycline	NT5002	R2	0.09803365496774974	LM18-22
Nilvadipine	Doxycycline	NT5002	R2	0.07199784105079604	LM18-22
Etanidazole	Doxycycline	NT5002	R2	0.10501681466072091	LM18-22
Pinaverium bromide	Doxycycline	NT5002	R2	0.0756635117163207	LM18-22
Mepivacaine hydrochloride	Doxycycline	NT5002	R2	0.08656653341022297	LM18-22
Carvedilol	Doxycycline	NT5002	R2	0.17679977795030258	LM18-22
Equilin	Erythromycin	NT5001	R1	0.029611528012926824	LM18-12
Glimepiride	Doxycycline	NT5002	R2	0.12312991399492683	LM18-22
Picrotoxinin	Doxycycline	NT5002	R2	0.11523436658954493	LM18-22
Mepenzolate bromide	Doxycycline	NT5002	R2	0.11974589479081281	LM18-22
Benfotiamine	Doxycycline	NT5002	R2	0.10220079656057855	LM18-22
Halcinonide	Doxycycline	NT5002	R2	0.10511101588239734	LM18-22
Benzamil hydrochloride	Doxycycline	NT5002	R2	0.097213489720453	LM18-22
Suxibuzone	Doxycycline	NT5002	R2	0.10470719607429034	LM18-22
6-Furfurylaminopurine	Doxycycline	NT5002	R2	0.10950080396278986	LM18-22
Avermectin B1a	Doxycycline	NT5002	R2	0.11360991526370925	LM18-22
Baclofen (R,S)	Erythromycin	NT5001	R1	0.02419307238722098	LM18-12
Methenamine	Doxycycline	NT5002	R2	0.09310187700982021	LM18-22
Fludarabine	Doxycycline	NT5002	R2	0.1506700523473276	LM18-22
Pranlukast	Doxycycline	NT5002	R2	0.0924881817254606	LM18-22
Penicillamine	Doxycycline	NT5002	R2	0.10968875872800958	LM18-22
Zileuton	Doxycycline	NT5002	R2	0.018328061255857973	LM18-22
Loratadine	Doxycycline	NT5002	R2	0.08390743039060496	LM18-22
Tetraethylenepentamine pentahydrochloride	Doxycycline	NT5002	R2	0.09489204203287632	LM18-22
Acefylline	Doxycycline	NT5002	R2	0.09699976442599267	LM18-22
Acitretin	Doxycycline	NT5002	R2	0.017294759491655622	LM18-22
Tolmetin sodium salt dihydrate	Erythromycin	NT5001	R1	0.033460218791881616	LM18-12
Zonisamide	Doxycycline	NT5002	R2	0.10893688902048794	LM18-22
Irsogladine maleate	Doxycycline	NT5002	R2	0.10402732053165871	LM18-22
Cladribine	Doxycycline	NT5002	R2	0.08980840268844272	LM18-22
Olopatadine hydrochloride	Doxycycline	NT5002	R2	0.10639915432502096	LM18-22
Dydrogesterone	Doxycycline	NT5002	R2	0.1158853198922924	LM18-22
Sumatriptan succinate	Doxycycline	NT5002	R2	0.0941800858841673	LM18-22
Opipramol dihydrochloride	Doxycycline	NT5002	R2	0.08811404317591756	LM18-22
Nalidixic acid sodium salt	Doxycycline	NT5002	R2	0.08738244873954443	LM18-22
Oxacillin sodium	Doxycycline	NT5002	R2	0.12754375562494383	LM18-22
Paroxetine Hydrochloride	Erythromycin	NT5001	R1	0.03363175286872226	LM18-12
Thiamine hydrochloride	Doxycycline	NT5002	R2	0.09718512413261542	LM18-22
Tazobactam	Doxycycline	NT5002	R2	0.04727778281143713	LM18-22
Ibandronate sodium	Doxycycline	NT5002	R2	0.09989391290848991	LM18-22
Warfarin	Doxycycline	NT5002	R2	0.11353173314230851	LM18-22
Granisetron	Doxycycline	NT5002	R2	0.09079627728486159	LM18-22
Desloratadine	Doxycycline	NT5002	R2	0.08675469959463776	LM18-22
Pranoprofen	Doxycycline	NT5002	R2	0.10348530046523712	LM18-22
Secnidazole	Doxycycline	NT5002	R2	0.01344104066173964	LM18-22
Pempidine tartrate	Doxycycline	NT5002	R2	0.09494333530578516	LM18-22
Clodronate	Doxycycline	NT5002	R2	0.10329726482822878	LM18-22
Nylidrin	Erythromycin	NT5001	R1	0.03775103350182742	LM18-12
Ibutilide fumarate	Doxycycline	NT5002	R2	0.09746618240014127	LM18-22
Tramadol hydrochloride	Doxycycline	NT5002	R2	0.09291195729767208	LM18-22
Estropipate	Doxycycline	NT5002	R2	0.04831186052965489	LM18-22
Butylscopolammonium (n-) bromide	Doxycycline	NT5002	R2	0.10082280852563483	LM18-22
Irinotecan hydrochloride trihydrate	Doxycycline	NT5002	R2	0.13882648635310585	LM18-22
Clarithromycin	Doxycycline	NT5002	R2	0.014662494545903217	LM18-22
Vecuronium bromide	Doxycycline	NT5002	R2	0.20086182949485815	LM18-22
Tylosin	Doxycycline	NT5002	R2	0.0097777175713268	LM18-22
Citalopram Hydrobromide	Doxycycline	NT5002	R2	0.09690580146687011	LM18-22
Liothyronine	Erythromycin	NT5001	R1	0.037064470884131145	LM18-12
Promazine hydrochloride	Doxycycline	NT5002	R2	0.09533305494232022	LM18-22
Sulfamerazine	Doxycycline	NT5002	R2	0.10750835562384328	LM18-22
Venlafaxine	Doxycycline	NT5002	R2	0.10054887663113068	LM18-22
3-alpha-Hydroxy-5-beta-androstan-17-one	Doxycycline	NT5002	R2	0.0930091949183468	LM18-22
Tetrahydrozoline hydrochloride	Doxycycline	NT5002	R2	0.09185444733883309	LM18-22
Hexestrol	Doxycycline	NT5002	R2	0.1752481871791096	LM18-22
Cefmetazole sodium salt	Doxycycline	NT5002	R2	0.01691885782385208	LM18-22
Telmisartan	Doxycycline	NT5002	R2	0.08374690573425855	LM18-22
Docetaxel	Doxycycline	NT5002	R2	0.2387389949856926	LM18-22
Roxithromycin	Erythromycin	NT5001	R1	0.012692520201629448	LM18-12
Trihexyphenidyl-D,L Hydrochloride	Doxycycline	NT5002	R2	0.09032640720707578	LM18-22
Succinylsulfathiazole	Doxycycline	NT5002	R2	0.10289385162387489	LM18-22
Famprofazone	Doxycycline	NT5002	R2	0.14572693585603022	LM18-22
Bromopride	Doxycycline	NT5002	R2	0.10386118077284562	LM18-22
Methyl benzethonium chloride	Doxycycline	NT5002	R2	0.08274791281906378	LM18-22
Diphenylpyraline hydrochloride	Doxycycline	NT5002	R2	0.10616824144307806	LM18-22
Benzethonium chloride	Doxycycline	NT5002	R2	0.07284367406200654	LM18-22
Trioxsalen	Doxycycline	NT5002	R2	0.11766119946712844	LM18-22
Doxofylline	Doxycycline	NT5002	R2	0.10010939262367372	LM18-22
Beclomethasone dipropionate	Erythromycin	NT5001	R1	0.01790689928273088	LM18-12
Cilnidipine	Doxycycline	NT5002	R2	0.059376086450319755	LM18-22
Rivastigmine	Doxycycline	NT5002	R2	0.1115685349948298	LM18-22
Sulfabenzamide	Doxycycline	NT5002	R2	0.07660346651725035	LM18-22
Benzocaine	Doxycycline	NT5002	R2	0.10104142226758246	LM18-22
Dipyrone	Doxycycline	NT5002	R2	0.10292125134221941	LM18-22
Isosorbide dinitrate	Doxycycline	NT5002	R2	0.09928160510708689	LM18-22
Sulfachloropyridazine	Doxycycline	NT5002	R2	0.08994777152194698	LM18-22
Finasteride	Doxycycline	NT5002	R2	0.11654725085858866	LM18-22
Fluorometholone	Doxycycline	NT5002	R2	0.06617039752695007	LM18-22
Cephalothin sodium salt	Doxycycline	NT5002	R2	0.06598214843482682	LM18-22
Cefuroxime sodium salt	Doxycycline	NT5002	R2	0.10057618095054484	LM18-22
Sildenafil	Doxycycline	NT5002	R2	0.29748398035169926	LM18-22
Rifaximin	Doxycycline	NT5002	R2	0.010903018780921618	LM18-22
Althiazide	Doxycycline	NT5002	R2	0.12369122494178428	LM18-22
Isopyrin hydrochloride	Doxycycline	NT5002	R2	0.11307027786095906	LM18-22
Phenethicillin potassium salt	Doxycycline	NT5002	R2	0.01710678925478223	LM18-22
Sulfamethoxypyridazine	Doxycycline	NT5002	R2	0.10759558016801019	LM18-22
Deferoxamine mesylate	Doxycycline	NT5002	R2	0.08700146567900928	LM18-22
(+) -Levobunolol hydrochloride	Erythromycin	NT5001	R1	0.03517655423292563	LM18-12
Liranaftate	Doxycycline	NT5002	R2	0.09960833896538944	LM18-22
Sulfadimethoxine	Doxycycline	NT5002	R2	0.08759893007963977	LM18-22
Sulfanilamide	Doxycycline	NT5002	R2	0.131680394185364	LM18-22
Balsalazide Sodium	Doxycycline	NT5002	R2	0.11729988934019951	LM18-22
Estradiol Valerate	Doxycycline	NT5002	R2	0.08225737611857971	LM18-22
Phentermine hydrochloride	Doxycycline	NT5002	R2	0.29465940950702624	LM18-22
Sulfaquinoxaline sodium salt	Doxycycline	NT5002	R2	0.14167632022794555	LM18-22
Streptozotocin	Doxycycline	NT5002	R2	0.04624724823330681	LM18-22
Metoprolol-(+,-) (+)-tartrate salt	Doxycycline	NT5002	R2	0.11226298264287526	LM18-22
Flumethasone	Doxycycline	NT5002	R2	0.10453371387867885	LM18-22
Doxazosin mesylate	Erythromycin	NT5001	R1	0.02728129800522589	LM18-12
Flecainide acetate	Doxycycline	NT5002	R2	0.10764432472485368	LM18-22
Atractyloside potassium salt	Doxycycline	NT5002	R2	0.11053254213188712	LM18-22
Folinic acid calcium salt	Doxycycline	NT5002	R2	0.03299061534379606	LM18-22
Levonordefrin	Doxycycline	NT5002	R2	0.11481558888503685	LM18-22
Ebselen	Doxycycline	NT5002	R2	0.08455071690946375	LM18-22
Diclazuril	Doxycycline	NT5002	R2	0.23216093618820988	LM18-22
Vardenafil	Doxycycline	NT5002	R2	0.19068676014187108	LM18-22
Nadide	Doxycycline	NT5002	R2	0.13299620595951858	LM18-22
Sulfamethizole	Doxycycline	NT5002	R2	0.10834829186394626	LM18-22
Fluvastatin sodium salt	Erythromycin	NT5001	R1	0.032197604857220924	LM18-12
Medrysone	Doxycycline	NT5002	R2	0.12981014317124226	LM18-22
Flunixin meglumine	Doxycycline	NT5002	R2	0.13016974111693494	LM18-22
Spiramycin	Doxycycline	NT5002	R2	0.01057089029272669	LM18-22
Aprepitant	Doxycycline	NT5002	R2	0.09554462238983379	LM18-22
Monensin sodium salt	Doxycycline	NT5002	R2	0.021429768337067837	LM18-22
Isoetharine mesylate salt	Doxycycline	NT5002	R2	0.12477311362679697	LM18-22
Mevalonic-D, L acid lactone	Doxycycline	NT5002	R2	0.11019290058854594	LM18-22
Fluconazole	Doxycycline	NT5002	R2	0.10957765270060987	LM18-22
Anthralin	Doxycycline	NT5002	R2	0.15792396074575757	LM18-22
Methylhydantoin-5-(L)	Erythromycin	NT5001	R1	0.03426128208651735	LM18-12
Terazosin hydrochloride	Doxycycline	NT5002	R2	0.12470517115837357	LM18-22
Phenazopyridine hydrochloride	Doxycycline	NT5002	R2	0.12197169996236859	LM18-22
Demeclocycline hydrochloride	Doxycycline	NT5002	R2	0.012981326219875385	LM18-22
Fenoprofen calcium salt dihydrate	Doxycycline	NT5002	R2	0.10519347657077041	LM18-22
Piperacillin sodium salt	Doxycycline	NT5002	R2	0.02067883426068363	LM18-22
Chlorotrianisene	Doxycycline	NT5002	R2	0.11561233161295074	LM18-22
Ribostamycin sulfate salt	Doxycycline	NT5002	R2	0.06579314910223934	LM18-22
Methacholine chloride	Doxycycline	NT5002	R2	0.11382214960440055	LM18-22
Pipenzolate bromide	Doxycycline	NT5002	R2	0.12453708576636446	LM18-22
Lamotrigine	Doxycycline	NT5002	R2	0.1083962549452117	LM18-22
Tripelennamine hydrochloride	Doxycycline	NT5002	R2	0.2440927000555578	LM18-22
Butamben	Doxycycline	NT5002	R2	0.1257671548083822	LM18-22
Sulfapyridine	Doxycycline	NT5002	R2	0.1131112660802986	LM18-22
Meclofenoxate hydrochloride	Doxycycline	NT5002	R2	0.10136636469227814	LM18-22
Furaltadone hydrochloride	Doxycycline	NT5002	R2	0.0159298864925785	LM18-22
Ethoxyquin	Doxycycline	NT5002	R2	0.10627423099040659	LM18-22
Guanadrel sulfate	Doxycycline	NT5002	R2	0.10986351990507849	LM18-22
Vidarabine	Doxycycline	NT5002	R2	0.09972361632500006	LM18-22
Azacytidine-5	Erythromycin	NT5001	R1	0.03483329615615483	LM18-12
Sulfameter	Doxycycline	NT5002	R2	0.11842777259640459	LM18-22
Isopropamide iodide	Doxycycline	NT5002	R2	0.13216847604004486	LM18-22
Tulobuterol	Doxycycline	NT5002	R2	0.11775330141051935	LM18-22
Nalmefene hydrochloride	Doxycycline	NT5002	R2	0.18674403753600546	LM18-22
Alclometasone dipropionate	Doxycycline	NT5002	R2	0.10321403131363505	LM18-22
Leflunomide	Doxycycline	NT5002	R2	0.13781682008408044	LM18-22
Norgestrel-(-)-D	Doxycycline	NT5002	R2	0.0893360621954948	LM18-22
Fluocinonide	Doxycycline	NT5002	R2	0.09334389145830796	LM18-22
Sulfamethazine sodium salt	Doxycycline	NT5002	R2	0.0937096546142525	LM18-22
Gabapentin	Erythromycin	NT5001	R1	0.03603474543431757	LM18-12
Alexidine dihydrochloride	Doxycycline	NT5002	R2	0.009587782787024393	LM18-22
Proadifen hydrochloride	Doxycycline	NT5002	R2	0.05922947094407929	LM18-22
Zomepirac sodium salt	Doxycycline	NT5002	R2	0.11539062510366883	LM18-22
Cinoxacin	Doxycycline	NT5002	R2	0.12614370356453775	LM18-22
Bifonazole	Doxycycline	NT5002	R2	0.09247075054035434	LM18-22
